id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
m1,M 1 · NGC 1952,M1,Crab Nebula,ngc1952|lbn833,,supernova-remnant,Supernova remnant,SNR,Taurus,83.63321,22.01447,8.00,4.00,8.40,20.79,derived,1,,1,,NGC1952
m2,M 2 · NGC 7089,M2,,ngc7089|mwsc3526,,globular-cluster,Globular cluster,GCl,Aquarius,323.36254,-0.82331,8.40,,6.25,19.50,derived,2,,1,,NGC7089
m3,M 3 · NGC 5272,M3,,ngc5272|mwsc2152,,globular-cluster,Globular cluster,GCl,Canes Venatici,205.54679,28.37544,16.20,,6.39,21.07,derived,3,,1,,NGC5272
m4,M 4 · NGC 6121,M4,,ngc6121|mwsc2396,,globular-cluster,Globular cluster,GCl,Scorpius,245.89750,-26.52553,28.20,,5.40,21.28,derived,4,,1,,NGC6121
m5,M 5 · NGC 5904,M5,,ngc5904|mwsc2286,,globular-cluster,Globular cluster,GCl,Serpens,229.64063,2.08269,15.00,,5.95,20.46,derived,5,,1,,NGC5904
m6,M 6 · NGC 6405,M6,Butterfly Cluster,ngc6405|mwsc2661,,open-cluster,Open cluster,OCl,Scorpius,265.08646,-32.25417,15.60,,4.20,18.79,derived,6,,1,,NGC6405
m7,M 7 · NGC 6475,M7,Ptolemy's Cluster,ngc6475|mwsc2739,,open-cluster,Open cluster,OCl,Scorpius,268.46325,-34.79283,22.20,,3.30,18.66,derived,7,,1,,NGC6475
m8,M 8 · NGC 6523 · NGC 6533 · Sh2-25,M8,Lagoon Nebula,ngc6523|ngc6533|lbn25|sh2-25,,emission-nebula,Nebula,Neb,Sagittarius,270.92196,-24.38017,45.00,30.00,5.80,22.25,derived,8,,1,,NGC6523
m9,M 9 · NGC 6333,M9,,ngc6333|mwsc2567,,globular-cluster,Globular cluster,GCl,Ophiuchus,259.79908,-18.51625,6.90,,8.42,21.24,derived,9,,1,,NGC6333
m10,M 10 · NGC 6254,M10,,ngc6254|mwsc2498,,globular-cluster,Globular cluster,GCl,Ophiuchus,254.28746,-4.09933,9.30,,4.98,18.45,derived,10,,1,,NGC6254
m11,M 11 · NGC 6705,M11,Wild Duck Cluster,ngc6705|mwsc3008,,open-cluster,Open cluster,OCl,Scutum,282.77496,-6.27003,9.00,,5.80,19.20,derived,11,,1,,NGC6705
m12,M 12 · NGC 6218,M12,,ngc6218|mwsc2464,,globular-cluster,Globular cluster,GCl,Ophiuchus,251.81050,-1.94783,11.10,,6.07,19.93,derived,12,,1,,NGC6218
m13,M 13 · NGC 6205,M13,Hercules Globular Cluster|Great Globular Cluster in Hercules,ngc6205|mwsc2445,,globular-cluster,Globular cluster,GCl,Hercules,250.42346,36.46131,16.50,,5.80,20.52,derived,13,,1,,NGC6205
m14,M 14 · NGC 6402,M14,,ngc6402|mwsc2643,,globular-cluster,Globular cluster,GCl,Ophiuchus,264.40067,-3.24592,9.90,,5.73,19.34,derived,14,,1,,NGC6402
m15,M 15 · NGC 7078,M15,,ngc7078|mwsc3518,,globular-cluster,Globular cluster,GCl,Pegasus,322.49325,12.16683,11.10,,6.30,20.16,derived,15,,1,,NGC7078
m16,M 16 · NGC 6611 · IC 4703 · Sh2-49,M16,Eagle Nebula|Star Queen,ngc6611|lbn67|mwsc2886|ic4703|sh2-49,,emission-nebula,Nebula,Neb,Serpens,274.70071,-13.80722,70.00,50.00,,22.50,typical,16,,1,,NGC6611
m17,M 17 · NGC 6618 · Sh2-45,M17,Lobster Nebula|Swan Nebula|Omega Nebula,ngc6618|lbn60|mwsc2896|sh2-45,,emission-nebula,Nebula,Neb,Sagittarius,275.19629,-16.17153,12.60,,7.00,21.13,derived,17,,1,,NGC6618
m18,M 18 · NGC 6613,M18,,ngc6613|mwsc2892,,open-cluster,Open cluster,OCl,Sagittarius,274.99371,-17.10197,6.00,,6.90,19.42,derived,18,,1,,NGC6613
m19,M 19 · NGC 6273,M19,,ngc6273|mwsc2519,,globular-cluster,Globular cluster,GCl,Ophiuchus,255.65700,-26.26794,7.50,,5.57,18.57,derived,19,,1,,NGC6273
m20,M 20 · NGC 6514,M20,Trifid Nebula,ngc6514|lbn27|mwsc2789,,emission-nebula,Nebula,Neb,Sagittarius,270.67546,-22.97189,28.00,28.00,,22.50,typical,20,,1,,NGC6514
m21,M 21 · NGC 6531,M21,,ngc6531|mwsc2796,,open-cluster,Open cluster,OCl,Sagittarius,271.05604,-22.49006,6.00,,5.90,18.42,derived,21,,1,,NGC6531
m22,M 22 · NGC 6656,M22,,ngc6656|mwsc2961,,globular-cluster,Globular cluster,GCl,Sagittarius,279.10083,-23.90342,12.60,,6.17,20.30,derived,22,,1,,NGC6656
m23,M 23 · NGC 6494,M23,,ngc6494|mwsc2757,,open-cluster,Open cluster,OCl,Sagittarius,269.26988,-18.98533,16.80,,5.50,20.26,derived,23,,1,,NGC6494
m24,M 24 · IC 4715,M24,Small Sagittarius Star Cloud|Sagittarius Star Cloud,ic4715,,other,Star cloud,*Ass,Sagittarius,274.23383,-18.51456,120.00,60.00,4.50,22.77,derived,24,,1,,IC4715
m25,M 25 · IC 4725,M25,,ic4725|mwsc2940,,open-cluster,Open cluster,OCl,Sagittarius,277.94488,-19.11494,14.10,,4.60,18.97,derived,25,,1,,IC4725
m26,M 26 · NGC 6694,M26,,ngc6694|mwsc2987,,open-cluster,Open cluster,OCl,Scutum,281.32775,-9.38361,6.00,,8.87,21.39,derived,26,,1,,NGC6694
m27,M 27 · NGC 6853,M27,Dumbbell Nebula|Apple Core Nebula,ngc6853,,planetary-nebula,Planetary nebula,PN,Vulpecula,299.90158,22.72103,6.70,,7.40,20.16,derived,27,,1,,NGC6853
m28,M 28 · NGC 6626,M28,,ngc6626|mwsc2908,,globular-cluster,Globular cluster,GCl,Sagittarius,276.13704,-24.86983,5.10,,6.90,19.07,derived,28,,1,,NGC6626
m29,M 29 · NGC 6913,M29,,ngc6913|mwsc3329,,open-cluster,Open cluster,OCl,Cygnus,305.99071,38.50767,3.60,,6.60,18.01,derived,29,,1,,NGC6913
m30,M 30 · NGC 7099,M30,,ngc7099|mwsc3543,,globular-cluster,Globular cluster,GCl,Capricornus,325.09175,-23.17908,9.00,,7.10,20.50,derived,30,,1,,NGC7099
m31,M 31 · NGC 224,M31,Andromeda Galaxy,ngc224|pgc2557|ugc454,,galaxy,Spiral galaxy,G,Andromeda,10.68479,41.26906,177.83,69.66,3.44,22.78,leda,31,,1,,NGC0224
m32,M 32 · NGC 221,M32,,ngc221|pgc2555|ugc452,,galaxy,Elliptical galaxy,G,Andromeda,10.67429,40.86528,7.74,4.86,8.13,21.41,leda,32,,1,,NGC0221
m33,M 33 · NGC 598,M33,Triangulum Galaxy|Triangulum Pinwheel,ngc598|pgc5818|ugc1117,,galaxy,Spiral galaxy,G,Triangulum,23.46204,30.66022,62.09,36.73,5.79,23.05,leda,33,,1,,NGC0598
m34,M 34 · NGC 1039,M34,,ngc1039|mwsc223,,open-cluster,Open cluster,OCl,Perseus,40.53083,42.74614,22.50,,5.20,20.59,derived,34,,1,,NGC1039
m35,M 35 · NGC 2168,M35,,ngc2168|mwsc754,,open-cluster,Open cluster,OCl,Gemini,92.27108,24.33864,24.00,,5.10,20.63,derived,35,,1,,NGC2168
m36,M 36 · NGC 1960,M36,,ngc1960|mwsc594,,open-cluster,Open cluster,OCl,Auriga,84.07392,34.14075,7.20,,6.00,18.92,derived,36,,1,,NGC1960
m37,M 37 · NGC 2099,M37,,ngc2099|mwsc689,,open-cluster,Open cluster,OCl,Auriga,88.07646,32.55300,11.40,,5.60,19.51,derived,37,,1,,NGC2099
m38,M 38 · NGC 1912,M38,Starfish Cluster,ngc1912|mwsc557,,open-cluster,Open cluster,OCl,Auriga,82.17704,35.85492,9.60,,6.40,19.94,derived,38,,1,,NGC1912
m39,M 39 · NGC 7092,M39,,ngc7092|mwsc3521,,open-cluster,Open cluster,OCl,Cygnus,322.95133,48.43817,19.50,,4.60,19.68,derived,39,,1,,NGC7092
